imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,non-us,worlwide_gross_income_ccy,worlwide_gross_income_value
tt7465704,7 Hosil,7 Hosil,2017,2017-11-15,"Comedy, Thriller",100,South Korea,Korean,Yong-seung Lee,Yong-seung Lee,,"Ha-kyun Shin, Kyung-soo Do, Dong-yeong Kim, Moo-Sung Choi, Jung-min Hwang, Seung-gil Jeong, Suk-ho Jun, Hee-tae Jung, Do-Yoon Kim, Ji-young Kim, Jong-goo Kim, Jong-Su Kim, Su-Young Park, Ji-Hyun Woo","Tae-jung, the part-time worker of a DVD room, hides drugs in room #7 in exchange for wiping out his debt. When he goes back to the room to retrieve the drugs, he realizes that the door is ...",5.7,372,,,$ 2436110,,2.0,2.0,1,$,2436110.0
tt10443844,Psycho-Pass: Sinners of the System Case.1 Crime and Punishment,Psycho-Pass: Sinners of the System Case.1 Crime and Punishment,2019,2019-01-25,"Animation, Action, Crime",60,Japan,English,Naoyoshi Shiotani,Ryo Yoshigami,,"Kana Hanazawa, Sachie Hirai, Shizuka Itô, Rikiya Koyama, Keiichi Nakagawa, Kenji Nojima, Hiroe Oka, Kimiko Saitô, Ayane Sakura, Takahiro Sakurai, Miyuki Sawashiro, Youhei Tadano, Hiroki Touchi, Saori Yumiba","A runaway vehicle crashes into the Public Safety Bureau Building. The driver is identified as Izumi Yasaka, a psychological counselor at the Sanctuary, a Latent Criminal Isolation Facility ...",6.6,315,,,$ 884371,,1.0,5.0,1,$,884371.0
tt1537314,The Flying Machine,The Flying Machine,2011,2011-11-04,"Animation, Adventure, Family",85,"UK, Poland, China, India, Norway",English,"Martin Clapp, Geoff Lindsey","Geoff Lindsey, Marianela Maldonado",Breakthru Films,"Heather Graham, Benedict Wong, Láng Lang, Sandra Portman, Kizzy Mee, Steve Cookman, John Paul Sutherland, Lucy De Franca, Ellie Jewell, Jamie Munns","'The Flying Machine' is a 3D live action/animation family feature film about a stressed out business-woman, Georgie (played by Heather Graham), who takes her two children to see the ...",4.7,301,,,$ 16407,,8.0,3.0,1,$,16407.0
tt0306228,Where's the Party Yaar?,Where's the Party Yaar?,2003,2004-05-28,Comedy,110,USA,"Hindi, English",Benny Mathews,"Benny Mathews, Soham Mehta",Music Masala Films,"Diwakar Pathak, Sunil Malhotra, Indravadan Tridevi, Arun Bakshi, Ulka Amin, Shaan Puri, Kal Penn, Ankur Patel, Tan Tu, Prakash Desai, Mousami Dave, Indi Wijay, M. Kabir, Charlie Flynn, Tina Cherian","Harish Kumar Patel lives with his mom and dad in Valsad, Gujarat, India, where he is studying Electronic Engineering. His dad, Satish Kumar, wants him to re-locate to the U.S., live with ...",4.9,998,,$ 85739,$ 85739,56.0,28.0,4.0,0,$,85739.0
tt0102812,Roujin Z,Rôjin Z,1991,1991-09-14,"Animation, Comedy, Drama",80,Japan,Japanese,Hiroyuki Kitakubo,Katsuhiro Ôtomo,Movic,"Chisa Yokoyama, Toni Barry, Shinji Ogawa, Allan Wenger, Jana Carpenter, Kôji Tsujitani, Adam Henderson, John Fitzgerald Jay, Chie Satô, Ian Thompson, Barbara Barnes, Sean Barrett, Blain Fairman, Nigel Anthony, Nicolette McKenzie",A compassionate young nurse is determined to help an elderly invalid strapped to a revolutionary health care bed but there are unexpected consequences.,6.8,2190,,,,,8.0,22.0,1,,
tt0043962,La montagna dei sette falchi,Red Mountain,1951,1951-11-01,"Drama, Western",84,USA,English,"William Dieterle, John Farrow","George W. George, George W. George",Hal Wallis Productions,"Alan Ladd, Lizabeth Scott, Arthur Kennedy, John Ireland, Jeff Corey, James Bell, Bert Freed, Walter Sande, Neville Brand, Carleton Young, Whit Bissell, Jay Silverheels, Francis McDonald, Herbert Belles, Iron Eyes Cody",In 1865 Confederate Capt. Sherwood is heading to Colorado where Confederate Gen. Quantrill is stirring up rebellion using various Indian Nations.,6.0,358,,,,,6.0,3.0,0,,
tt0383862,Roma,Roma,2004,2004-10-01,Drama,155,"Argentina, Spain",Spanish,Adolfo Aristarain,"Adolfo Aristarain, Mario Camus",Tesela Producciones Cinematográficas,"Juan Diego Botto, Susú Pecoraro, José Sacristán, Agustín Garvíe, Vando Villamil, Marcela Kloosterboer, Maximiliano Ghione, Marina Glezer, Gustavo Garzón, Carla Crespo, Marcos Mundstock, Raúl Rizzo, Jean Pierre Noher, Alberto Jiménez, María Galiana","Joaquín Góñez, a novelist in his sixties recalls his emotions, his wild years in Buenos Aires, the memories of old friends, the meaning of loyalty and the intimate relationship with his mother, Roma.",7.3,1161,$ 2763806,,$ 1459663,,10.0,8.0,1,$,1459663.0
tt0213149,Pearl Harbor,Pearl Harbor,2001,2001-06-01,"Action, Drama, History",183,USA,"English, Japanese, French",Michael Bay,Randall Wallace,Touchstone Pictures,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott, Greg Zola, Ewen Bremner, Alec Baldwin, Jaime King, Catherine Kellner, Jennifer Garner, Jon Voight, Cuba Gooding Jr., Michael Shannon, Matthew Davis, Mako",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,6.2,306993,$ 140000000,$ 198542554,$ 449220945,44.0,2026.0,199.0,0,$,449220945.0
tt3816526,Jing Cheng 81 hao,Jing Cheng 81 hao,2014,2014-07-18,"Drama, Horror, Mystery",90,China,Mandarin,Wai-Man Yip,"Yu Lei, Manfred Wong",China Film Group Corporation (CFGC),"Francis Ng, Ruby Lin, Tony Yo-ning Yang, Monica Siu-Kei Mok, Hailu Qin, Pat Ha, Zhi Han, Elaine Jin, Jing Li, Cheung-Yan Yuen, Juming Zhang","Story based on the legendary mansion at No. 81 on Chaoyangmennei Street in Beijing, which local legend says is haunted by the ghost of a Kuomintang official's wife, who committed suicide in...",4.5,286,CNY 32000000,,$ 65220000,,1.0,1.0,1,$,65220000.0
tt0086156,Pukar,Pukar,1983,1983-11-18,"Action, Drama, Musical",161,India,Hindi,Ramesh Behl,"Madan Joshi, G.R. Kamath",Rose Movies,"Amitabh Bachchan, Zeenat Aman, Randhir Kapoor, Tina Ambani, Prem Chopra, Shreeram Lagoo, Paidi Jairaj, Chand Usmani, Viju Khote, Shubha Khote, Hadhic Hartaki, Azaad Irani, Narendra Nath, Pratima Devi, Sudha Chopra","Although India obtained freedom from the British in 1947, Goa and it's territories are still ruled by the Portuguese. A group of revolutionaries want a free Goa and are thus wanted by the ...",6.0,305,,,,,4.0,,1,,
